"genesysId","latitude","longitude","elevation","datum","uncertainty","method","version"
"419117","45.39083333","36.05722222","1.0",,"",,"3"
"430334","59.86667","22.2","10.0",,"",,"2"
"3058069","54.681944","13.431944","5.0",,"500.0",,"6"
"3792629","","","2.0",,"",,"0"
"3804268","","","50.0",,"",,"0"
"3821842","","","1.0",,"",,"0"
"3821851","","","1.0",,"",,"0"
"3824419","","","5.0",,"",,"0"
"3825199","","","1.0",,"",,"0"
"3825470","","","0.0",,"",,"0"
"3942068","55.960556","11.451667","",,"",,"6"
"3948849","53.1372","-9.71111","5.0",,"",,"6"
"3948850","51.8322","-8.29972","2.0",,"",,"6"
"3948851","53.0717","-6.03389","10.0",,"",,"6"
"3948852","51.4811","-9.70444","3.0",,"",,"6"
"3948853","51.8261","-8.00028","7.0",,"",,"6"
"3948854","51.9539","-7.83722","5.0",,"",,"6"
"3948855","53.0825","-9.57306","100.0",,"",,"4"
"4068965","50.733333","0.25","1.0",,"",,"4"
"4068981","52.4","1.733333","1.0",,"",,"4"
"4537861","","","1.0",,"",,"0"
"4878399","40.75","46.566667","345.0",,"",,"2"
